channel,date,time,name
"Първа програма",1989-04-07,20:40,Днес
"Първа програма",1989-04-07,21:00,"Камбани на разсъмване - игрален филм (СССР, 1985г.) режисьор Аркадий Кордон в ролите Георги Тараторкин, Ирина Печорникова и др. първо излъчване"
"Първа програма",1989-04-07,22:35,Изберете
"Първа програма",1989-04-07,22:40,"Хора на път"
"Първа програма",1989-04-07,22:50,"С името на България: Люба Величкова"
"Първа програма",1989-04-07,00:00,"В края на деня"
"Първа програма",1989-04-07,00:15,"Формула 5 - младежко забавно предаване"
"Втора програма",1989-04-08,17:15,"Музикална миниатюра: ""Много е рада хибава"" в изпълнение на Ева Геориева"
"Втора програма",1989-04-08,17:20,"Телевизионен театър: ""Отплатата"" от Франц Крьоц. режисьор Магда Каменова, с участието на Иванка Димитрова"
"Втора програма",1989-04-08,18:10,"Минути от свободното време"
"Първа програма",1989-04-08,08:30,"Добро утро - информационно-музикално предаване"
"Първа програма",1989-04-08,10:00,Изберете
"Първа програма",1989-04-08,10:05,"За децата: ""Храброто еленче"" - анимационен филм; ""Призраци отвъд"" - тв филм (III епизод); ""Как да стана голям"" и ""Внимание, маймунки"" - анимационни филми"
"Първа програма",1989-04-08,11:15,"Пътуване за никъде - игрален филм (Испания, 1986 г.), I част"
"Първа програма",1989-04-08,12:30,Днес
"Първа програма",1989-04-08,12:40,"Времена и хора - публицистично предаване"
"Първа програма",1989-04-08,13:30,"Естеството на нещата: ""Мечти, превърнати в действителност"" - Мария Кюри"
"Първа програма",1989-04-08,14:00,"Вариант ""М"""
"Първа програма",1989-04-08,15:00,"Футбол: ""Витоша"" - ""Славия"" - пряко предаване от стадион В.Левски. В паузата: тв реклама представя: ""Завод Химик"" - Асеновград"
"Първа програма",1989-04-08,16:45,"Музикално предаване с участието на Тамара Гвардцители, Сергей Манев, Владимир Пресняков"
"Първа програма",1989-04-08,17:00,Днес
"Първа програма",1989-04-08,17:10,"Родови хроники: ""Именникът на българските ханове"""
"Първа програма",1989-04-08,18:10,"Тв реклама представя: 50 г. завод ""Малчика"""
"Първа програма",1989-04-08,18:40,"Коженото яке - детски тв филм"
"Първа програма",1989-04-08,19:40,"Лека нощ, деца! - Малката русалка (II епизод)"
"Първа програма",1989-04-08,20:00,Панорама
"Първа програма",1989-04-08,21:00,"Алф - тв филм (VII епизод)"
"Първа програма",1989-04-08,21:25,"Пътуване за никъде - игрален филм (Испания, 1986 г.), II част, първо излъчване"
"Първа програма",1989-04-08,22:30,Изберете
"Първа програма",1989-04-08,22:35,Стоп-кадър
"Първа програма",1989-04-08,23:15,"Опера престо - анимационен филм (VI епизод)"
"Първа програма",1989-04-08,23:25,"В края на деня"
"Първа програма",1989-04-08,23:40,"Студио ""X"": ""Борсалино и С-ие"" - игрален филм (Франция), режисьор Жак Дьоре в ролите: Ален Делон, Рикардо Кучола, Даниел Ивернел и др. с надписи, първо излъчване"
"Първа програма",1989-04-22,08:30,"Добро утро - информационно-музикално предаване"
"Първа програма",1989-04-22,10:00,"За децата: Историята, която трябваше да се случи"" - драматиза ция (III серия). ""Призраци отвъд"" филм (VII епизод), ""Ужасът и птиците"" - тв филм."
"Първа програма",1989-04-22,11:25,"Октопод тв филм (Италия), трети филм, III епизод"
"Първа програма",1989-04-22,12:30,Днес
"Първа програма",1989-04-22,12:40,"Времена и хора: ""Кръстопътна земя"" - първо предаване цикъла Човек народност нация"
"Първа програма",1989-04-22,13:30,"Естеството на нещата: Музиката на човека"" (II епизод)"
"Първа програма",1989-04-22,14:25,"В света на изкуството: Леонардо да Винчи"
"Първа програма",1989-04-22,15:20,"Тв реклама представя ..."
"Първа програма",1989-04-22,15:30,"Музикална дъга"
"Първа програма",1989-04-22,15:50,"Вариант М"
"Първа програма",1989-04-22,16:50,Днес
"Първа програма",1989-04-22,17:00,"Срещи Лик: Лили Иванова"
"Първа програма",1989-04-22,18:00,"За властта на Съветите документален филм"
"Първа програма",1989-04-22,18:30,"Истината - тв филм за юноши."
"Първа програма",1989-04-22,19:20,"Призраци отвъд детски тв филм (VIII епизод)"
"Първа програма",1989-04-22,19:50,"Лека нощ, деца!: На гости"
"Първа програма",1989-04-22,20:00,Панорама
"Първа програма",1989-04-22,21:00,"Алф тв филм (VIII епизод)"
"Първа програма",1989-04-22,21:25,"Октопод седемсериен тв филм (Италия), трети филм първо изльчване, с надписи"
"Първа програма",1989-04-22,22:30,Изберете
"Първа програма",1989-04-22,22:35,"Опера престо анимационен филм (VIII епизод)."
"Първа програма",1989-04-22,22:45,"В края на деня"
"Първа програма",1989-04-22,23:10,"Студио Х: ""Лесен случай"" игрален филм (Унгария). peжисьор Ищван Лауро Бачкай в ролите: Дьорд Чорхалми, Енкьо Есени. Ласло Дожа. Атила Льоте др. първо излъчване с надписи"
"Първа програма",1989-05-21,09:00,"Не се сърди човече"
"Втора програма",1990-07-20,19:00,Днес
"Втора програма",1990-07-20,19:10,"Живото тяло - научнопопулярен филм XXI еп."
"Втора програма",1990-07-20,19:35,"Концерт на Симфоничния оркестър Прага - Фок"
"Втора програма",1990-07-20,20:00,"По света и у нас"
"Втора програма",1990-07-20,20:30,"ЛИК - Островът на залезите II част"
"Втора програма",1990-07-20,21:10,"Една жена с китара - музикален концерт на Ева Фампас"
"Втора програма",1990-07-20,21:30,"Поглед към света - журнално предаване"
"Втора програма",1990-07-20,22:00,Днес
"Втора програма",1990-07-20,22:10,"Златната възраст - тв филм, Франция IV еп."
"Първа програма",1990-07-20,10:00,Новини
"Първа програма",1990-07-20,10:10,"Детски свят"
"Първа програма",1990-07-20,10:55,"Блага ракия - концерт народна музика"
"Първа програма",1990-07-20,11:30,"Търговски кораби ""Онегин"" - тв филм III еп."
"Първа програма",1990-07-20,12:30,Новини
"Първа програма",1990-07-20,17:50,Новини
"Първа програма",1990-07-20,18:00,"Детски свят"
"Първа програма",1990-07-20,18:25,"Телевизионно тото ""5 от 35"""
"Първа програма",1990-07-20,19:10,"Тв справочник"
"Първа програма",1990-07-20,19:20,Екология
"Първа програма",1990-07-20,19:50,"Лека нощ деца!"
"Първа програма",1990-07-20,20:00,"По света и у нас"
"Първа програма",1990-07-20,20:30,"Семейство Флинстоун - анимац. филм"
"Първа програма",1990-07-20,21:45,"Де Гол - вечното предизвикателство док. филм VI еп."
"Първа програма",1990-07-20,22:35,"Новини. Изберете"
"Първа програма",1990-07-20,22:50,"Влюбеният с пантофите - епизод от тв поредицата ""Докторчето"", Франция"
"Втора програма",1990-11-05,18:50,Днес
"Втора програма",1990-11-05,19:00,"Език мой"
"Втора програма",1990-11-05,19:05,"Светът на науката: ""Новите професии на компютъра"""
"Втора програма",1990-11-05,19:30,"Гледища: ""Деидеологизация в културата"""
"Втора програма",1990-11-05,20:00,"По света и у нас"
"Втора програма",1990-11-05,20:30,"Формула на тягата"" - документален филм"
"Втора програма",1990-11-05,20:50,"Лъч публицистично предаване"
"Втора програма",1990-11-05,21:50,"Днес,"
"Втора програма",1990-11-05,22:00,"Случаят Ланчоне - тв филм от поредицата Банков трезор Цю- рих"" (Германия, 1988 г.)"
"Втора програма",1990-11-05,22:50,Бизнеспрограма
"Първа програма",1990-11-05,17:50,Новини
"Първа програма",1990-11-05,18:00,"Детски свят: Легенда за златната река"" - то новела (1 част). Из Рила"" и .Кос- тенурките нинджа"""
"Първа програма",1990-11-05,19:15,"Тв справочник"
"Първа програма",1990-11-05,19:25,"Звездни войни - епизод от ""Завоюването на Космоса"""
"Първа програма",1990-11-05,19:50,"Лека нощ, деца!: Вълкът Лупи"
"Първа програма",1990-11-05,20:00,"По света и у нас"
"Първа програма",1990-11-05,20:30,"Актуална антена"
"Първа програма",1990-11-05,20:40,"Разкази с неочакван край: Наддаването"" - тв филм (Англия)"
"Първа програма",1990-11-05,21:05,"Стилове в американската музика: Всичко, от което се нуждаеш, е любов"" (IX епизод)"
"Първа програма",1990-11-05,21:55,"Журнал лик"
"Първа програма",1990-11-05,22:35,"Новини Изберете"
"Първа програма",1990-11-05,22:50,"Берлин - Александерплац (Германия). VIII."
"Първа програма",1990-11-05,23:50,"Стена танцова композиция по музика на Паул Хиндемит"
"Първа програма",1990-11-05,00:05,"Най-добрите британски филми: ""Английските Джентълмени"""
"Втора програма",1990-11-06,18:50,Днес
"Втора програма",1990-11-06,19:00,"Курс по английски език за напреднали (36-и урок)"
"Втора програма",1990-11-06,19:30,"Пряка реч"
"Втора програма",1990-11-06,20:00,"По света и у нас"
"Втора програма",1990-11-06,20:30,"Младежко фолклорно предаване"
"Втора програма",1990-11-06,21:00,"Спортен екран"
"Втора програма",1990-11-06,21:40,"Хора на път"
"Втора програма",1990-11-06,21:50,Днес
"Втора програма",1990-11-06,22:00,"Къде е Морино? тв филм от поредицата Банков трезор Цюрих (Германия, 1988 г.)"
"Първа програма",1990-11-06,09:00,"Добър ви ден!"
"Първа програма",1990-11-06,10:30,"Детски свят: ""Костенурките нинджа"""
"Първа програма",1990-11-06,10:55,"Берлин - Александерплац (Германия), VII и VIII епизод"
"Първа програма",1990-11-06,12:55,Новини
"Първа програма",1990-11-06,17:50,Новини
"Първа програма",1990-11-06,18:00,"Детски свят: Легенда за златната река"" (VII част),  ""Разказвачи на легенди"" и ""Костенурките нинджа"", XVIII епизод"
"Първа програма",1990-11-06,19:15,"Те справочник"
"Първа програма",1990-11-06,19:25,"Врати към Вселената"" - епизод от ""Завоюването на Космоса"""
"Първа програма",1990-11-06,19:50,"Лека нощ, деца!: Вълкът Лупи"
"Първа програма",1990-11-06,20:00,"По света и у нас"
"Първа програма",1990-11-06,20:30,"Разкази с неочакван край: Мисис Пиксби и палтото на полковника"" - тв филм (Англия)"
"Първа програма",1990-11-06,20:55,"Открито студио: ""Местното самоуправление""."
"Първа програма",1990-11-06,21:55,"Клуб 90° - забавно-музикално предаване (1 част)"
"Първа програма",1990-11-06,22:35,"Новини. Изберете"
"Първа програма",1990-11-06,22:50,"Берлин - Александерплац (Германия), IX епизод"
"Първа програма",1990-11-06,23:50,"Клуб 90°. (II част)"
"Първа програма",1990-11-06,00:20,"Най-добрите британски филми: ""Шоу само с песни и танци"""
"Втора програма",1991-04-16,19:00,Днес
"Втора програма",1991-04-16,19:05,"Език мой"
"Втора програма",1991-04-16,19:10,"Курс по английски език за напреднали (ХI урок)"
"Втора програма",1991-04-16,19:40,"Лято и музика забавно-музикално предаване"
"Втора програма",1991-04-16,19:45,"Творчеството на народите по света (Япония)"
"Втора програма",1991-04-16,20:00,"Присъствие: ""Комуникацията мост на единомислещите"""
"Втора програма",1991-04-16,20:30,"Пряка реч"
"Втора програма",1991-04-16,21:00,"Хора на път"
"Втора програма",1991-04-16,21:10,"Спортен екран"
"Втора програма",1991-04-16,22:00,Днес
"Втора програма",1991-04-16,22:15,"Отвъд отмъщението - игрален филм, режисьор Рено Сен Пиер, в ролите: Роже Суза, Мари-Катрин Конти. Ан-Мари Филип и др., първо излъчване, с надписи (канал Франс Ентернасионал)"
"Първа програма",1991-04-16,08:00,"Добър ви ден! информационно-музикално предаване"
"Първа програма",1991-04-16,10:00,"Детски свят: ""Жив приятел"" и .Були"" анима-ционни филми"
"Първа програма",1991-04-16,10:15,"Хотел Рай"" тв филм (Германия, 1990 г.), IX и X епизод"
"Първа програма",1991-04-16,12:00,Вести
"Първа програма",1991-04-16,18:00,Вести
"Първа програма",1991-04-16,18:10,"Детски свят: ""Звънче"" и ""Костенурките нинджа"" анимационен филм (Х епизод)"
"Първа програма",1991-04-16,19:20,"Марк и Софи тв филм (Франция), XI епизод"
"Първа програма",1991-04-16,19:40,"Тв справочник"
"Първа програма",1991-04-16,19:50,"Лека нощ, деца!: ""Слънчевото момиче и Дъждовното момче"" анимационен филм (IX епизод)"
"Първа програма",1991-04-16,20:00,"По света и у нас"
"Първа програма",1991-04-16,20:30,Отзвук
"Първа програма",1991-04-16,20:40,"Хотел Рай 14-сериен тв филм (Германия, 1990 г.). XI епизод, първо излъчване"
"Първа програма",1991-04-16,21:30,"Oткрито студио"
